school,grade,number_candidates,score,subject,year,area
SOMALI BANTU SECONDARY,E,401,1,maths,2019,kk
SOMALI BANTU SECONDARY,X,22,0,maths,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,maths,2019,kk
SOMALI BANTU SECONDARY,U,0,0,maths,2019,kk
SOMALI BANTU SECONDARY,P,0,0,maths,2019,kk
SOMALI BANTU SECONDARY,W,0,0,maths,2019,kk
KALOBEYEI SECONDARY,A,0,12,maths,2019,kk
KALOBEYEI SECONDARY,A-,0,11,maths,2019,kk
KALOBEYEI SECONDARY,B+,0,10,maths,2019,kk
KALOBEYEI SECONDARY,B,0,9,maths,2019,kk
KALOBEYEI SECONDARY,B-,1,8,maths,2019,kk
KALOBEYEI SECONDARY,C+,0,7,maths,2019,kk
KALOBEYEI SECONDARY,C,0,6,maths,2019,kk
KALOBEYEI SECONDARY,C-,1,5,maths,2019,kk
KALOBEYEI SECONDARY,D+,0,4,maths,2019,kk
KALOBEYEI SECONDARY,D,2,3,maths,2019,kk
KALOBEYEI SECONDARY,D-,6,2,maths,2019,kk
KALOBEYEI SECONDARY,E,48,1,maths,2019,kk
KALOBEYEI SECONDARY,X,0,0,maths,2019,kk
KALOBEYEI SECONDARY,Y,0,0,maths,2019,kk
KALOBEYEI SECONDARY,U,0,0,maths,2019,kk
KALOBEYEI SECONDARY,P,0,0,maths,2019,kk
KALOBEYEI SECONDARY,W,0,0,maths,2019,kk
MORNEU SHEPPELL SECONDARY,A,0,12,biology,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,biology,2019,kk
MORNEU SHEPPELL SECONDARY,B+,0,10,biology,2019,kk
MORNEU SHEPPELL SECONDARY,B,0,9,biology,2019,kk
MORNEU SHEPPELL SECONDARY,B-,0,8,biology,2019,kk
MORNEU SHEPPELL SECONDARY,C+,4,7,biology,2019,kk
MORNEU SHEPPELL SECONDARY,C,4,6,biology,2019,kk
MORNEU SHEPPELL SECONDARY,C-,0,5,biology,2019,kk
MORNEU SHEPPELL SECONDARY,D+,4,4,biology,2019,kk
MORNEU SHEPPELL SECONDARY,D,34,3,biology,2019,kk
MORNEU SHEPPELL SECONDARY,D-,22,2,biology,2019,kk
MORNEU SHEPPELL SECONDARY,E,1,1,biology,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,biology,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,biology,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,biology,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,biology,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,biology,2019,kk
VISION SECONDARY,A,0,12,biology,2019,kk
VISION SECONDARY,A-,1,11,biology,2019,kk
VISION SECONDARY,B+,0,10,biology,2019,kk
VISION SECONDARY,B,0,9,biology,2019,kk
VISION SECONDARY,B-,0,8,biology,2019,kk
VISION SECONDARY,C+,0,7,biology,2019,kk
VISION SECONDARY,C,1,6,biology,2019,kk
VISION SECONDARY,C-,5,5,biology,2019,kk
VISION SECONDARY,D+,10,4,biology,2019,kk
VISION SECONDARY,D,73,3,biology,2019,kk
VISION SECONDARY,D-,184,2,biology,2019,kk
VISION SECONDARY,E,119,1,biology,2019,kk
VISION SECONDARY,X,6,0,biology,2019,kk
VISION SECONDARY,Y,0,0,biology,2019,kk
VISION SECONDARY,U,0,0,biology,2019,kk
VISION SECONDARY,P,0,0,biology,2019,kk
VISION SECONDARY,W,0,0,biology,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,biology,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,biology,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,biology,2019,kk
KAKUMA REFUGEE SECONDARY,B,0,9,biology,2019,kk
KAKUMA REFUGEE SECONDARY,B-,2,8,biology,2019,kk
KAKUMA REFUGEE SECONDARY,C+,3,7,biology,2019,kk
KAKUMA REFUGEE SECONDARY,C,2,6,biology,2019,kk
KAKUMA REFUGEE SECONDARY,C-,7,5,biology,2019,kk
KAKUMA REFUGEE SECONDARY,D+,5,4,biology,2019,kk
KAKUMA REFUGEE SECONDARY,D,81,3,biology,2019,kk
KAKUMA REFUGEE SECONDARY,D-,251,2,biology,2019,kk
KAKUMA REFUGEE SECONDARY,E,127,1,biology,2019,kk
KAKUMA REFUGEE SECONDARY,X,8,0,biology,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,biology,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,biology,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,biology,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,biology,2019,kk
GREEN LIGHT SECONDARY,A,0,12,biology,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,biology,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,biology,2019,kk
GREEN LIGHT SECONDARY,B,0,9,biology,2019,kk
GREEN LIGHT SECONDARY,B-,3,8,biology,2019,kk
GREEN LIGHT SECONDARY,C+,3,7,biology,2019,kk
GREEN LIGHT SECONDARY,C,3,6,biology,2019,kk
GREEN LIGHT SECONDARY,C-,3,5,biology,2019,kk
GREEN LIGHT SECONDARY,D+,5,4,biology,2019,kk
GREEN LIGHT SECONDARY,D,39,3,biology,2019,kk
GREEN LIGHT SECONDARY,D-,97,2,biology,2019,kk
GREEN LIGHT SECONDARY,E,210,1,biology,2019,kk
GREEN LIGHT SECONDARY,X,9,0,biology,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,biology,2019,kk
GREEN LIGHT SECONDARY,U,0,0,biology,2019,kk
GREEN LIGHT SECONDARY,P,1,0,biology,2019,kk
GREEN LIGHT SECONDARY,W,0,0,biology,2019,kk
SOMALI BANTU SECONDARY,A,0,12,biology,2019,kk
SOMALI BANTU SECONDARY,A-,1,11,biology,2019,kk
SOMALI BANTU SECONDARY,B+,0,10,biology,2019,kk
SOMALI BANTU SECONDARY,B,2,9,biology,2019,kk
SOMALI BANTU SECONDARY,B-,1,8,biology,2019,kk
SOMALI BANTU SECONDARY,C+,5,7,biology,2019,kk
SOMALI BANTU SECONDARY,C,5,6,biology,2019,kk
SOMALI BANTU SECONDARY,C-,6,5,biology,2019,kk
SOMALI BANTU SECONDARY,D+,12,4,biology,2019,kk
SOMALI BANTU SECONDARY,D,61,3,biology,2019,kk
SOMALI BANTU SECONDARY,D-,156,2,biology,2019,kk
SOMALI BANTU SECONDARY,E,265,1,biology,2019,kk
SOMALI BANTU SECONDARY,X,21,0,biology,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,biology,2019,kk
SOMALI BANTU SECONDARY,U,0,0,biology,2019,kk
SOMALI BANTU SECONDARY,P,0,0,biology,2019,kk
SOMALI BANTU SECONDARY,W,0,0,biology,2019,kk
KALOBEYEI SECONDARY,A,0,12,biology,2019,kk
KALOBEYEI SECONDARY,A-,0,11,biology,2019,kk
KALOBEYEI SECONDARY,B+,0,10,biology,2019,kk
KALOBEYEI SECONDARY,B,0,9,biology,2019,kk
KALOBEYEI SECONDARY,B-,0,8,biology,2019,kk
KALOBEYEI SECONDARY,C+,0,7,biology,2019,kk
KALOBEYEI SECONDARY,C,1,6,biology,2019,kk
KALOBEYEI SECONDARY,C-,1,5,biology,2019,kk
KALOBEYEI SECONDARY,D+,0,4,biology,2019,kk
KALOBEYEI SECONDARY,D,6,3,biology,2019,kk
KALOBEYEI SECONDARY,D-,17,2,biology,2019,kk
KALOBEYEI SECONDARY,E,33,1,biology,2019,kk
KALOBEYEI SECONDARY,X,0,0,biology,2019,kk
KALOBEYEI SECONDARY,Y,0,0,biology,2019,kk
KALOBEYEI SECONDARY,U,0,0,biology,2019,kk
KALOBEYEI SECONDARY,P,0,0,biology,2019,kk
KALOBEYEI SECONDARY,W,0,0,biology,2019,kk
